edit_history_tweet_ids,created_at,text,id,author_id
['1878645646623932824'],2025-01-13T03:30:00.000Z,"2004 Coca Cola Cafe Serving Bowl https://t.co/2wE2qDKIYm via @Etsy

Get 25% Off Orders of 2 or More Items

#cocacola #coke #cocacolacafe #kitchenware #dinnerware #servingbowl #saladbowl #bowl #cocacolacollector #cokecollectibles #vintagestyle #tableware #cokecollector",1878645646623932824,860601814659592192
['1878627643199033615'],2025-01-13T02:18:28.000Z,"Here is an Alternative #Cola brand to #CocaCola and #PepsiCo.

Don’t fund #Genocide. 

#BDS 🇵🇸🍉 https://t.co/pDhU1PMAN7",1878627643199033615,68599588
['1878612083840844199'],2025-01-13T01:16:38.000Z,"Elon Musk, in a playful twist, once tweeted about buying Coca-Cola to bring back its original recipe. Classic Elon humor! 😅

I think he should do it tbh.

#CocaCola #ElonMusk #ElClasico https://t.co/O28kVwvZ7B https://t.co/4tSdhYWhB2",1878612083840844199,1528443082986905600
['1878595315068243975'],2025-01-13T00:10:00.000Z,"1996 Coca Cola Soda Fountain Sweetheart Barbie Doll  https://t.co/GS2k2TE79B via @Etsy

Get 25% Off Orders of 2 or More Items

#cocacola #barbie #coke #barbiecollector #cocacolacollector #dollcollector #vintagedoll #barbiedoll #cokecollectibles #vintagefinds #cokecollector",1878595315068243975,860601814659592192
['1878580152021717481'],2025-01-12T23:09:45.000Z,Achat d'actions #Cocacola https://t.co/HkngZBuvac,1878580152021717481,798995977004847104
['1878524818443702651'],2025-01-12T19:29:52.000Z,"Defund Israeli #UK #EU AND #US child killers, boycott #oreoservicesreview #oreoticketreview #Orangina #mirinda #CocaCola #SpriteStudio #Sprite #7up #Fanta #pepison #Pepsiมิตรชวนกรี๊ดxGeminiFourth #Pepsi #Oasis drinks #Oracle #Cisco #Salesforce #salesforceblog #salesforcecloud #BP https://t.co/lwh5Rb56ZG",1878524818443702651,3384927484
['1878506545748566322'],2025-01-12T18:17:16.000Z,Got to love Joseph #JoJosBizarreAdventure #CocaCola https://t.co/vZ8Lj7MbCC,1878506545748566322,1785681985068740608
['1878503427182846185'],2025-01-12T18:04:52.000Z,"🔻🔴🟥
Choose Real Beatboxer

#subscribe #youtube
#tiktok #ytshorts #CocaCola
#beatbox #sound #challenge
https://t.co/QFhVYyhEJx",1878503427182846185,1685653084519677955
['1878502673864900931'],2025-01-12T18:01:52.000Z,"🥤🥤🥤
Coca cola Sound Beatbox

#subscribe #youtube
#tiktok #ytshorts #CocaCola
#beatbox #sound #challenge

https://t.co/VQIHkLTwDZ",1878502673864900931,1685653084519677955
['1878477035674165695'],2025-01-12T16:20:00.000Z,"1997 Brunette Barbie with Coca-Cola Fan and Parasol https://t.co/4mu3bn9Zg1 via @Etsy

Get 25% Off Orders of 2 or More Items

#barbie #cocacola #coke #vintagedoll #barbiedoll #barbiecollector #cocacolacollector #cokecollectibles #etsyvintage #cokecollector #cocacolacollectibles",1878477035674165695,860601814659592192
['1878463374826029563'],2025-01-12T15:25:43.000Z,"https://t.co/K9NtRpLE0N 

You're in there @pepsi @CocaCola selling even more stuff to murderous Russia while others left? Profits are that good? 

Let's spread the news!

#Pepsi #CocaCola #drinking #alcohol @ABC @nbcsnl @amanpour @60Minutes @ABC2020 @Forbes @FortuneMagazine @FT",1878463374826029563,936081583257341952
['1878461977938296837'],2025-01-12T15:20:10.000Z,"Sprite goes naked for now, as Coca-Cola decides to strip the labels from their Sprite rPET bottles in the company’s first pilot test of label-less packaging. Learn more https://t.co/X9q3pTZyt2 #packaging #cocacola #sustainablepackaging #sprite https://t.co/QqbcWLwij2",1878461977938296837,1497231593668108290
['1878449353561723354'],2025-01-12T14:30:00.000Z,"♥️ Coca-Cola Shampoo Packaging ♥️

Check out this fresh Coca-Cola Shampoo Packaging design! Featuring a stunning girl illustration with silky hair, all wrapped up in the iconic Coca-Cola brand colors. 

#cocacola #shampoo #productpackaging #packagingdesign #LabelDesign https://t.co/AY9K7avjCL",1878449353561723354,2836141710
['1878439355137614333'],2025-01-12T13:50:16.000Z,"Curious where cola is coming to Russia from 🤔 Turns out, I didn’t expect this: Afghanistan! I thought they were less friendly with the US than we are, but no—they even have a factory. Interesting.

#bexxvlog #Russia #Afghanistan #CocaCola https://t.co/JByGwnFF7R",1878439355137614333,1743011461616762880
['1878421647310409926'],2025-01-12T12:39:54.000Z,@nmartine3 @saras76 Go #CocaCola - they my #peeps #y’all,1878421647310409926,1859641124475826176
['1878401025557541175'],2025-01-12T11:17:58.000Z,"""WAKE-UP CALL! Coca-Cola funded a 2012 sleep deprivation experiment, keeping 28 participants awake for 24hrs! They were given Coke with caffeine without consent! Should companies conduct experiments that manipulate physical/mental states? #SleepDeprivation #CocaCola"" https://t.co/DvG1bxiSqe",1878401025557541175,1436927599863898115
['1878390326479499478'],2025-01-12T10:35:27.000Z,"Coca-Cola Final Fantasy IX Volume 2: Freya Crescent Mini Figure *Open/Complete* brought to you by the #PlastiqueBoutique

#FinalFantasy #FinalFantasyFigures #Collectables #CollectablesForSale #Toys #ToysForSale #CocaCola https://t.co/bNeHV2GABI",1878390326479499478,120991858
['1878363789252304933'],2025-01-12T08:50:00.000Z,"1997 Coca Cola Checkerboard Serving Bowl https://t.co/vxMjf5vY3N via @Etsy

Get 25% Off Orders of 2 or More Items

#CocaCola #coke #servingbowl #bowl #dinnerware #kitchenware #cocacolacollector #cokecollectibles #etsyvintage #discontinued #tableware #cokecollector",1878363789252304933,860601814659592192
